CardTransactionID,CardholderEmployeeID,PostingDate,Merchant,MCC,Currency,BilledAmount,AuthorizationCode
CTX00000092,EMP32946,2026-05-26,Enterprise Rent-A-Car,7512,USD,16113.92,REF-2025-63
CTX00000093,EMP70981,2026-02-01,Lyft,4121,USD,10083.06,REF-2024-64
CTX00000094,EMP70981,2026-02-01,Office Depot,5943,USD,18111.08,REF-2024-64
CTX00000095,EMP70981,2026-02-01,Uber,4121,USD,15055.51,REF-2024-64
CTX00000096,EMP70981,2026-02-01,Staples,5943,USD,20577.02,REF-2024-64
CTX00000097,EMP23979,2025-12-24,Ruth's Chris Steak House,5812,USD,20001.78,REF-2024-65
CTX00000098,EMP96275,2026-06-04,Amazon Business,5999,EUR,8140.44,REF-2025-66
CTX00000099,EMP96275,2026-06-04,Lyft,4121,EUR,8643.68,REF-2025-66
CTX00000100,EMP96275,2026-06-04,Enterprise Rent-A-Car,7512,EUR,3555.08,REF-2025-66
CTX00000101,EMP96275,2026-06-04,Ruth's Chris Steak House,5812,EUR,9318.45,REF-2025-66
CTX00000102,EMP92345,2026-04-24,Delta Air Lines,4511,USD,63698.13,REF202367
CTX00000103,EMP21813,2025-12-14,Office Depot,5943,USD,3433.12,REF-2024-68
CTX00000104,EMP75771,2026-03-14,The Capital Grille,5812,USD,5180.36,REF-2023-69
CTX00000105,EMP75771,2026-03-14,Marriott Hotels,7011,USD,11444.89,REF-2023-69
CTX00000106,EMP75771,2026-03-14,Staples,5943,USD,116.58,REF-2023-69
CTX00000107,EMP75771,2026-03-14,American Airlines,4511,USD,3417.57,REF-2023-69
CTX00000108,EMP57942,2025-10-04,Uber,4121,USD,1050.02,REF-2023-70
CTX00000109,EMP57942,2025-10-04,Starbucks,5814,USD,33258.92,REF-2023-70
CTX00000110,EMP57942,2025-10-04,Ruth's Chris Steak House,5812,USD,6169.93,REF-2023-70
CTX00000111,EMP57942,2025-10-04,Marriott Hotels,7011,USD,19169.96,REF-2023-70
CTX00000112,EMP57942,2025-10-04,Enterprise Rent-A-Car,7512,USD,15790.9,REF-2023-70
CTX00000113,EMP95097,2026-02-03,Delta Air Lines,4511,EUR,61675.0,REF-2023-71
CTX00000114,EMP27781,2025-10-09,UPS,4215,EUR,11700.44,REF-2024-72
CTX00000115,EMP95841,2025-08-29,Office Depot,5943,USD,58775.3,REF-2024-73
CTX00000116,EMP68115,2025-12-17,Marriott Hotels,7011,EUR,3368.36,REF-2024-74
CTX00000117,EMP46160,2026-05-07,American Airlines,4511,USD,36796.76,REF-2025
CTX00000118,EMP41925,2025-06-21,UPS,4215,USD,50355.06,REF-2025-76
CTX00000119,EMP41925,2025-06-21,Hertz Car Rental,7512,USD,13630.28,REF-2025-76
CTX00000120,EMP29340,2025-10-08,Hilton Hotels,7011,GBP,21673.54,REF-2025-77
CTX00000121,EMP96646,2025-09-08,Ruth's Chris Steak House,5812,USD,54067.52,REF-2023-78
CTX00000122,EMP44782,2025-06-19,Office Depot,5943,USD,58926.41,REF-2023-79
CTX00000123,EMP68756,2025-07-13,Marriott Hotels,7011,USD,11453.57,REF-2025-80
CTX00000124,EMP96363,2026-04-21,United Airlines,4511,GBP,50433.49,REF-2024-81
CTX00000125,EMP99928,2026-01-02,Staples,5943,USD,99858.82,REF-2023-82
CTX00000126,EMP18609,2025-11-22,UPS,4215,USD,89936.75,REF-2023-83
CTX00000127,EMP76263,2026-04-12,UPS,4215,GBP,3728.3,REF-2025-84
CTX00000128,EMP76263,2026-04-12,Hertz Car Rental,7512,GBP,10290.19,REF-2025-84
CTX00000129,EMP76263,2026-04-12,Office Depot,5943,GBP,11825.36,REF-2025-84
CTX00000130,EMP76263,2026-04-12,Staples,5943,GBP,6742.18,REF-2025-84
CTX00000131,EMP22463,2026-01-29,American Airlines,4511,USD,6325.35,REF-2023-85
CTX00000132,EMP22463,2026-01-29,American Airlines,4511,USD,9185.67,REF-2023-85
CTX00000133,EMP22463,2026-01-29,American Airlines,4511,USD,2174.06,REF-2023-85
CTX00000134,EMP22463,2026-01-29,Office Depot,5943,USD,9876.96,REF-2023-85
CTX00000135,EMP22463,2026-01-29,Marriott Hotels,7011,USD,13877.94,REF-2023-85
CTX00000136,EMP17861,2025-08-16,The Capital Grille,5812,GBP,73905.72,REF-2025-86
CTX00000137,EMP47700,2025-12-09,Marriott Hotels,7011,GBP,1275.42,REF-2025-87
CTX00000138,EMP47700,2025-12-09,Ruth's Chris Steak House,5812,GBP,629.45,REF-2025-87
CTX00000139,EMP47700,2025-12-09,UPS,4215,GBP,1941.66,REF-2025-87
CTX00000140,EMP47700,2025-12-09,Ruth's Chris Steak House,5812,GBP,2400.18,REF-2025-87
CTX00000141,EMP47700,2025-12-09,Marriott Hotels,7011,GBP,6064.2,REF-2025-87
CTX00000142,EMP91490,2026-01-16,UPS,4215,GBP,57452.59,REF-2024-88
CTX00000143,EMP13794,2026-05-13,Lyft,4121,USD,60938.59,REF-2023-89
CTX00000144,EMP19120,2025-09-11,American Airlines,4511,USD,33933.36,REF-2024-90
CTX00000145,EMP84395,2025-12-17,Hilton Hotels,7011,GBP,34155.51,REF-2024
CTX00000146,EMP96761,2025-07-22,Ruth's Chris Steak House,5812,EUR,1385.3,REF-2025-92
CTX00000147,EMP96761,2025-07-22,Office Depot,5943,EUR,856.42,REF-2025-92
CTX00000148,EMP96761,2025-07-22,Marriott Hotels,7011,EUR,221.2,REF-2025-92
CTX00000149,EMP96761,2025-07-22,Lyft,4121,EUR,2608.35,REF-2025-92
CTX00000150,EMP97442,2026-02-15,Starbucks,5814,USD,67880.78,REF-2025-93
CTX00000151,EMP37686,2025-09-23,The Capital Grille,5812,USD,5572.72,REF-2025-94
CTX00000152,EMP26932,2026-01-17,Enterprise Rent-A-Car,7512,EUR,872.22,REF-2023-95
CTX00000153,EMP19447,2026-05-19,United Airlines,4511,EUR,55916.48,REF-2025-96
CTX00000154,EMP85156,2025-11-18,Lyft,4121,EUR,92124.13,REF-2024-97
CTX00000155,EMP91018,2025-11-24,Office Depot,5943,EUR,40562.73,REF-2023-98
CTX00000156,EMP78676,2026-04-08,The Capital Grille,5812,USD,24407.32,REF-2023-99
CTX00000157,EMP76910,2025-09-05,Hertz Car Rental,7512,USD,33373.56,REF-2023-100
CTX00000158,EMP23474,2026-05-07,American Airlines,4511,USD,6102.8,REF-2024-101
CTX00000159,EMP23474,2026-05-07,Hyatt Hotels,7011,USD,2900.84,REF-2024-101
CTX00000160,EMP23474,2026-05-07,Amazon Business,5999,USD,26171.22,REF-2024-101
CTX00000161,EMP92210,2026-04-03,American Airlines,4511,USD,78475.75,REF-2024-102
CTX00000162,EMP76497,2026-04-09,Delta Air Lines,4511,USD,24725.02,REF-2024-103
CTX00000163,EMP76497,2026-04-09,Ruth's Chris Steak House,5812,USD,54928.31,REF-2024-103
CTX00000164,EMP60394,2025-07-27,Delta Air Lines,4511,EUR,8335.81,REF-2024-104
CTX00000165,EMP29773,2025-11-22,The Capital Grille,5812,USD,62327.58,REF-2025-105
CTX00000166,EMP67595,2026-06-08,Hyatt Hotels,7011,GBP,4010.3,REF-2023-106
CTX00000167,EMP63578,2025-11-02,Delta Air Lines,4511,USD,37347.91,REF-2024-107
CTX00000168,EMP22387,2025-07-14,Lyft,4121,GBP,64765.81,REF-2025-108
CTX00000169,EMP20682,2026-05-13,Starbucks,5814,GBP,48046.17,REF-2024-109
CTX00000170,EMP20682,2026-05-13,Hilton Hotels,7011,GBP,18327.18,REF-2024-109
CTX00000171,EMP20682,2026-05-13,American Airlines,4511,GBP,6027.64,REF-2024-109
CTX00000172,EMP97833,2026-05-06,Office Depot,5943,GBP,56457.22,REF-2024-110
CTX00000173,EMP73736,2025-09-28,Hilton Hotels,7011,USD,18108.27,REF-2024-111
CTX00000174,EMP80748,2025-08-01,The Capital Grille,5812,GBP,29649.63,REF-2023-112
CTX00000175,EMP31266,2025-12-20,Staples,5943,USD,13191.8,REF-2025-113
CTX00000176,EMP90031,2026-05-23,Enterprise Rent-A-Car,7512,USD,30956.97,REF-2023-114
CTX00000177,EMP90031,2026-05-23,Lyft,4121,USD,1292.32,REF-2023-114
CTX00000178,EMP90031,2026-05-23,Amazon Business,5999,USD,8895.49,REF-2023-114
CTX00000179,EMP70513,2026-03-30,FedEx,4215,USD,36847.31,REF-2023-115
CTX00000180,EMP16839,2025-09-21,FedEx,4215,EUR,53585.38,REF-2024-116
CTX00000181,EMP16839,2025-09-21,Marriott Hotels,7011,EUR,30880.71,REF-2024-116
CTX00000182,EMP16839,2025-09-21,Lyft,4121,EUR,12164.1,REF-2024-116
CTX00000183,EMP29313,2025-10-28,Staples,5943,EUR,82060.06,REF-2023-117
CTX00000184,EMP29142,2025-07-31,Amazon Business,5999,USD,2915.94,REF-2023-118
CTX00000185,EMP89807,2025-08-26,Lyft,4121,GBP,25666.8,REF-2023-119
CTX00000186,EMP93748,2025-07-05,UPS,4215,GBP,3346.25,REF-2023-120
CTX00000187,EMP93748,2025-07-05,United Airlines,4511,GBP,10451.73,REF-2023-120
CTX00000188,EMP93748,2025-07-05,FedEx,4215,GBP,16387.02,REF-2023-120
CTX00000189,EMP66261,2025-08-23,Enterprise Rent-A-Car,7512,USD,24269.62,REF-2025-121
CTX00000190,EMP78614,2026-05-17,UPS,4215,USD,41715.1,REF-2025-122
CTX00000191,EMP71621,2026-02-25,Ruth's Chris Steak House,5812,USD,83524.47,REF-2025-123
CTX00000192,EMP81567,2025-08-18,Staples,5943,USD,61576.29,REF-2025-124
CTX00000193,EMP81567,2025-08-18,Amazon Business,5999,USD,14115.93,REF-2025-124
CTX00000194,EMP69988,2025-08-19,Delta Air Lines,4511,USD,18309.57,REF-2025-125
CTX00000195,EMP62196,2025-11-19,Delta Air Lines,4511,GBP,86056.77,REF-2023-126
CTX00000196,EMP58148,2026-02-20,Office Depot,5943,GBP,97374.99,REF-2024-127
CTX00000197,EMP33652,2025-07-21,Office Depot,5943,GBP,1516.07,408036
CTX00000198,EMP50173,2025-11-25,Office Depot,5943,EUR,10349.53,REF-2024-128
CTX00000199,EMP56210,2025-12-07,Starbucks,5814,GBP,18946.38,REF-2023-129
CTX00000200,EMP56210,2025-12-07,Ruth's Chris Steak House,5812,GBP,46466.13,REF-2023-129
CTX00000201,EMP56210,2025-12-07,FedEx,4215,GBP,2216.72,REF-2023-129
CTX00000202,EMP56210,2025-12-07,Hyatt Hotels,7011,GBP,1250.64,REF-2023-129
CTX00000203,EMP56210,2025-12-07,United Airlines,4511,GBP,127.63,REF-2023-129
CTX00000204,EMP14561,2026-05-24,Ruth's Chris Steak House,5812,USD,84882.06,REF-2023-130
CTX00000205,EMP89310,2026-03-28,Ruth's Chris Steak House,5812,USD,38347.15,REF-2024-131
CTX00000206,EMP79397,2025-07-20,Uber,4121,USD,44449.53,REF-2024-132
CTX00000207,EMP75410,2025-06-24,Marriott Hotels,7011,GBP,96055.95,REF-2023-133
CTX00000208,EMP21506,2025-07-18,American Airlines,4511,USD,14645.14,REF-2023-134
CTX00000209,EMP76683,2026-06-04,Amazon Business,5999,USD,8642.19,REF-2023-135
CTX00000210,EMP76683,2026-06-04,United Airlines,4511,USD,5669.57,REF-2023-135
CTX00000211,EMP76683,2026-06-04,Ruth's Chris Steak House,5812,USD,56897.97,REF-2023-135
CTX00000212,EMP27009,2026-02-05,Lyft,4121,GBP,61850.48,REF-2025-136
CTX00000213,EMP63665,2026-02-11,FedEx,4215,GBP,1041.72,177333
CTX00000214,EMP99143,2026-05-05,UPS,4215,GBP,97240.74,REF-2023
CTX00000215,EMP30056,2025-07-09,Enterprise Rent-A-Car,7512,USD,7132.71,REF-2023-138
CTX00000216,EMP30056,2025-07-09,Ruth's Chris Steak House,5812,USD,36185.86,REF-2023-138
CTX00000217,EMP94015,2026-04-21,Hilton Hotels,7011,USD,59073.23,REF-2023-139
CTX00000218,EMP13718,2025-11-30,Uber,4121,USD,90209.89,REF-2025-140
CTX00000219,EMP75278,2026-03-30,Lyft,4121,GBP,21702.11,REF-2025-141
CTX00000220,EMP17852,2026-01-29,Amazon Business,5999,USD,40668.64,REF-2025-142
CTX00000221,EMP55268,2026-04-17,FedEx,4215,EUR,20481.9,2024-143
CTX00000222,EMP68929,2025-08-12,Delta Air Lines,4511,USD,24249.61,REF-2024-144
CTX00000223,EMP71186,2025-08-31,United Airlines,4511,EUR,28956.58,REF-2025-145
CTX00000224,EMP86460,2025-10-12,Lyft,4121,USD,45777.34,REF-2025-146
CTX00000225,EMP80345,2026-05-11,Hilton Hotels,7011,USD,63402.41,REF-2024-147
CTX00000226,EMP84747,2026-01-02,UPS,4215,GBP,36657.14,REF-2024-148
CTX00000227,EMP69028,2025-11-05,American Airlines,4511,GBP,981.21,393308
CTX00000228,EMP61629,2025-08-10,Hertz Car Rental,7512,USD,23082.15,REF-2025-149
CTX00000229,EMP61629,2025-08-10,FedEx,4215,USD,31027.95,REF-2025-149
CTX00000230,EMP61629,2025-08-10,Starbucks,5814,USD,13961.72,REF-2025-149
CTX00000231,EMP53652,2025-06-30,Hilton Hotels,7011,EUR,4121.47,REF-2025-150
CTX00000232,EMP31299,2025-08-21,Lyft,4121,EUR,89323.86,REF2025151
CTX00000233,EMP83783,2026-03-10,Ruth's Chris Steak House,5812,USD,82846.11,REF-2025-152
CTX00000234,EMP92478,2026-01-10,Uber,4121,USD,67413.26,REF-2024-153
CTX00000235,EMP16731,2026-04-03,FedEx,4215,GBP,78312.11,REF-2025-154
CTX00000236,EMP99224,2025-12-22,Marriott Hotels,7011,USD,72146.17,REF-2025-155
CTX00000237,EMP28098,2026-02-07,The Capital Grille,5812,GBP,77519.73,REF-2025-156
CTX00000238,EMP32699,2025-12-20,UPS,4215,EUR,47889.26,REF-2025-157
CTX00000239,EMP89963,2026-05-25,Uber,4121,EUR,69255.01,REF-2024-158
CTX00000240,EMP51555,2026-06-06,Marriott Hotels,7011,EUR,26906.78,REF-2024-159
CTX00000241,EMP51555,2026-06-06,UPS,4215,EUR,45119.15,REF-2024-159
CTX00000242,EMP51555,2026-06-06,Starbucks,5814,EUR,5114.38,REF-2024-159
CTX00000243,EMP47700,2025-08-24,Hertz Car Rental,7512,USD,20991.45,REF-2024-160
CTX00000244,EMP47700,2025-08-24,UPS,4215,USD,7360.45,REF-2024-160
CTX00000245,EMP47700,2025-08-24,Uber,4121,USD,7859.2,REF-2024-160
CTX00000246,EMP47700,2025-08-24,UPS,4215,USD,45644.81,REF-2024-160
CTX00000247,EMP16653,2025-08-05,The Capital Grille,5812,GBP,6146.16,REF-2025-161
CTX00000248,EMP16653,2025-08-05,Amazon Business,5999,GBP,195.14,REF-2025-161
CTX00000249,EMP16653,2025-08-05,Marriott Hotels,7011,GBP,20893.68,REF-2025-161
CTX00000250,EMP95575,2025-06-13,Lyft,4121,EUR,15377.96,REF-2025-162
CTX00000251,EMP95575,2025-06-13,Delta Air Lines,4511,EUR,21433.09,REF-2025-162
CTX00000252,EMP95575,2025-06-13,American Airlines,4511,EUR,40288.48,REF-2025-162
CTX00000253,EMP32946,2026-03-11,Starbucks,5814,EUR,58686.31,REF-2025-163
CTX00000254,EMP11214,2025-11-06,Marriott Hotels,7011,USD,96216.92,REF-2025-164
CTX00000255,EMP78723,2026-05-05,Staples,5943,EUR,28527.71,REF-2024-165
CTX00000256,EMP48669,2025-06-18,Hyatt Hotels,7011,GBP,71887.96,REF-2024-166
CTX00000257,EMP77538,2026-01-04,Marriott Hotels,7011,USD,85629.04,REF-2025-167
CTX00000258,EMP10895,2026-02-10,Staples,5943,USD,98170.35,REF2023168
CTX00000259,EMP44282,2026-03-31,Marriott Hotels,7011,USD,30264.39,REF-2024-169
CTX00000260,EMP99925,2026-02-04,Lyft,4121,GBP,420.3,837733
CTX00000261,EMP58174,2026-05-04,Hilton Hotels,7011,GBP,70374.18,REF-2024-170
CTX00000262,EMP71712,2025-12-19,Enterprise Rent-A-Car,7512,GBP,94352.37,REF-2025-171
CTX00000263,EMP18094,2025-07-20,UPS,4215,GBP,70406.24,REF-2025-172
CTX00000264,EMP17292,2025-07-27,Office Depot,5943,EUR,61192.67,REF-2025-173
CTX00000265,EMP43352,2025-11-15,Delta Air Lines,4511,USD,34524.48,REF-2025-174
CTX00000266,EMP43352,2025-11-15,Office Depot,5943,USD,11767.11,REF-2025-174
CTX00000267,EMP59081,2025-08-19,Starbucks,5814,EUR,18080.13,REF-2024-175
CTX00000268,EMP95660,2026-05-15,UPS,4215,USD,71452.02,REF-2023-176
CTX00000269,EMP70686,2025-06-12,Starbucks,5814,GBP,95347.36,REF-2025-177
CTX00000270,EMP14222,2025-09-15,Enterprise Rent-A-Car,7512,EUR,15596.63,REF-2024-178
CTX00000271,EMP42077,2026-04-11,Enterprise Rent-A-Car,7512,USD,6822.36,REF-2023
CTX00000272,EMP85690,2025-11-06,Enterprise Rent-A-Car,7512,GBP,14099.54,REF2023180
CTX00000273,EMP82856,2026-04-27,Starbucks,5814,EUR,91166.61,REF-2025-181
CTX00000274,EMP29558,2026-01-10,UPS,4215,USD,31941.57,REF-2025-182
CTX00000275,EMP28920,2025-10-04,Office Depot,5943,EUR,24172.72,REF-2024-183
CTX00000276,EMP36651,2025-08-18,Staples,5943,USD,55772.95,REF2024184
CTX00000277,EMP45187,2025-09-16,Delta Air Lines,4511,EUR,53609.99,REF-2023-185
CTX00000278,EMP38444,2026-04-07,Lyft,4121,EUR,18458.14,REF-2023-186
CTX00000279,EMP41797,2025-08-10,Enterprise Rent-A-Car,7512,GBP,96211.55,REF-2023-187
CTX00000280,EMP71112,2025-11-02,Lyft,4121,GBP,32229.34,REF-2025-188
CTX00000281,EMP83731,2026-01-08,Uber,4121,USD,37133.42,REF-2023-189
CTX00000282,EMP29976,2026-04-03,Starbucks,5814,USD,89373.83,REF-2025-190
CTX00000283,EMP74004,2025-12-08,Delta Air Lines,4511,USD,73303.95,2023-191
CTX00000284,EMP58916,2025-06-15,Amazon Business,5999,USD,70746.24,2023192
CTX00000285,EMP12192,2026-03-20,Hyatt Hotels,7011,GBP,218.05,REF-2023-193
CTX00000286,EMP12192,2026-03-20,Marriott Hotels,7011,GBP,163.92,REF-2023-193
CTX00000287,EMP12192,2026-03-20,Marriott Hotels,7011,GBP,25.5,REF-2023-193
CTX00000288,EMP12192,2026-03-20,FedEx,4215,GBP,141.81,REF-2023-193
CTX00000289,EMP12192,2026-03-20,Hilton Hotels,7011,GBP,211.29,REF-2023-193
CTX00000290,EMP45038,2026-03-07,Starbucks,5814,EUR,19274.01,2023194
CTX00000291,EMP49318,2026-06-02,Delta Air Lines,4511,USD,24396.47,REF-2025-195
CTX00000292,EMP93459,2025-12-21,Marriott Hotels,7011,USD,3356.01,REF-2023-196
CTX00000293,EMP93459,2025-12-21,FedEx,4215,USD,22819.04,REF-2023-196
CTX00000294,EMP93459,2025-12-21,Delta Air Lines,4511,USD,2351.54,REF-2023-196
CTX00000295,EMP93459,2025-12-21,Enterprise Rent-A-Car,7512,USD,5783.07,REF-2023-196
CTX00000296,EMP93459,2025-12-21,Hertz Car Rental,7512,USD,6277.64,REF-2023-196
CTX00000297,EMP99709,2026-02-09,Delta Air Lines,4511,USD,88766.68,REF-2025
